From	To	Edits	Jaro-Winkler	Total Distance	Edit list
cloe	covfefe	5	0.754	11.2	insert 'o' at 2, insert 'v' at 3, insert 'f' at 4, replace 'l' at 2 with 'e' (distance 6.08), replace 'o' at 3 with 'f' (distance 5.1), 
cloete	covfefe	4	0.771	11.6	insert 'o' at 2, replace 'l' at 2 with 'v' (distance 5.1), replace 'o' at 3 with 'f' (distance 5.1), replace 't' at 5 with 'f' (distance 1.41), 
cloete's	covfefe	5	0.721	5.06	delete 'l' at 2, replace 'e' at 4 with 'v' (distance 2.24), replace 't' at 5 with 'f' (distance 1.41), replace ''' at 7 with 'f' (non-letter, distance ignored), replace 's' at 8 with 'e' (distance 1.41), 
close	covfefe	5	0.709	13	insert 'o' at 2, insert 'v' at 3, replace 'l' at 2 with 'f' (distance 5), replace 'o' at 3 with 'e' (distance 6), replace 's' at 4 with 'f' (distance 2), 
clova	covfefe	5	0.709	2.24	delete 'l' at 2, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'a' at 5 with 'e' (distance 2.24), 
clovelly	covfefe	5	0.721	15.5	delete 'l' at 2, replace 'e' at 5 with 'f' (distance 1.41), replace 'l' at 6 with 'e' (distance 6.08), replace 'l' at 7 with 'f' (distance 5), replace 'y' at 8 with 'e' (distance 3), 
clover	covfefe	4	0.771	1	delete 'l' at 2, insert 'f' at 4, insert 'f' at 6, replace 'r' at 6 with 'e' (distance 1), 
clover's	covfefe	5	0.721	3.83	delete 'l' at 2, replace 'e' at 5 with 'f' (distance 1.41), replace 'r' at 6 with 'e' (distance 1), replace ''' at 7 with 'f' (non-letter, distance ignored), replace 's' at 8 with 'e' (distance 1.41), 
cloverdale	covfefe	6	0.764	8.24	delete 'l' at 2, delete 'e' at 5, delete 'r' at 6, replace 'd' at 7 with 'f' (distance 1), replace 'a' at 8 with 'e' (distance 2.24), replace 'l' at 9 with 'f' (distance 5), 
cloverdale's	covfefe	8	0.739	6.41	delete 'l' at 2, delete 'e' at 5, delete 'r' at 6, delete 'd' at 7, delete 'a' at 8, replace 'l' at 9 with 'f' (distance 5), replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
clyve	covfefe	5	0.709	9	insert 'o' at 2, insert 'v' at 3, replace 'l' at 2 with 'f' (distance 5), replace 'y' at 3 with 'e' (distance 3), replace 'v' at 4 with 'f' (distance 1), 
co	covfefe	5	0.81	0	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, insert 'e' at 7, 
coalfield	covfefe	5	0.738	11.1	delete 'a' at 3, replace 'l' at 4 with 'v' (distance 5.1), delete 'i' at 6, replace 'l' at 8 with 'f' (distance 5), replace 'd' at 9 with 'e' (distance 1), 
coalfield's	covfefe	7	0.716	6.51	delete 'a' at 3, replace 'l' at 4 with 'v' (distance 5.1), delete 'i' at 6, delete 'l' at 8, delete 'd' at 9, replace ''' at 10 with 'f' (non-letter, distance ignored), replace 's' at 11 with 'e' (distance 1.41), 
coalville	covfefe	5	0.738	15.2	delete 'a' at 3, delete 'l' at 4, replace 'i' at 6 with 'f' (distance 4.12), replace 'l' at 7 with 'e' (distance 6.08), replace 'l' at 8 with 'f' (distance 5), 
coalville's	covfefe	7	0.716	6.41	delete 'a' at 3, delete 'l' at 4, delete 'i' at 6, delete 'l' at 7, replace 'l' at 8 with 'f' (distance 5), replace ''' at 10 with 'f' (non-letter, distance ignored), replace 's' at 11 with 'e' (distance 1.41), 
coates	covfefe	4	0.714	5.99	replace 'a' at 3 with 'v' (distance 3.16), replace 't' at 4 with 'f' (distance 1.41), insert 'f' at 6, replace 's' at 6 with 'e' (distance 1.41), 
coatesville	covfefe	7	0.725	15.2	delete 'a' at 3, delete 't' at 4, delete 'e' at 5, delete 's' at 6, replace 'i' at 8 with 'f' (distance 4.12), replace 'l' at 9 with 'e' (distance 6.08), replace 'l' at 10 with 'f' (distance 5), 
coatesville's	covfefe	9	0.706	6.41	delete 'a' at 3, delete 't' at 4, delete 'e' at 5, delete 's' at 6, delete 'i' at 8, delete 'l' at 9, replace 'l' at 10 with 'f' (distance 5), replace ''' at 12 with 'f' (non-letter, distance ignored), replace 's' at 13 with 'e' (distance 1.41), 
coatsville	covfefe	6	0.726	15.2	delete 'a' at 3, delete 't' at 4, delete 's' at 5, replace 'i' at 7 with 'f' (distance 4.12), replace 'l' at 8 with 'e' (distance 6.08), replace 'l' at 9 with 'f' (distance 5), 
coatsville's	covfefe	8	0.708	6.41	delete 'a' at 3, delete 't' at 4, delete 's' at 5, delete 'i' at 7, delete 'l' at 8, replace 'l' at 9 with 'f' (distance 5), replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
cob	covfefe	5	0.721	2.83	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'b' at 3 with 'e' (distance 2.83), 
cobbie	covfefe	4	0.714	8.37	insert 'v' at 3, replace 'b' at 3 with 'f' (distance 1.41), replace 'b' at 4 with 'e' (distance 2.83), replace 'i' at 5 with 'f' (distance 4.12), 
cobden	covfefe	4	0.714	5.61	replace 'b' at 3 with 'v' (distance 1), replace 'd' at 4 with 'f' (distance 1), insert 'f' at 6, replace 'n' at 6 with 'e' (distance 3.61), 
cobdenite	covfefe	5	0.738	3.41	replace 'b' at 3 with 'v' (distance 1), replace 'd' at 4 with 'f' (distance 1), delete 'n' at 6, delete 'i' at 7, replace 't' at 8 with 'f' (distance 1.41), 
cobdenite's	covfefe	7	0.716	3.41	replace 'b' at 3 with 'v' (distance 1), replace 'd' at 4 with 'f' (distance 1), delete 'n' at 6, delete 'i' at 7, replace 't' at 8 with 'f' (distance 1.41), delete ''' at 10, delete 's' at 11, 
cobdenites	covfefe	6	0.726	3.41	replace 'b' at 3 with 'v' (distance 1), replace 'd' at 4 with 'f' (distance 1), delete 'n' at 6, delete 'i' at 7, replace 't' at 8 with 'f' (distance 1.41), delete 's' at 10, 
coben	covfefe	4	0.741	5.02	insert 'v' at 3, replace 'b' at 3 with 'f' (distance 1.41), insert 'f' at 6, replace 'n' at 5 with 'e' (distance 3.61), 
coccaceae	covfefe	5	0.738	7.58	delete 'c' at 3, delete 'c' at 4, replace 'a' at 5 with 'v' (distance 3.16), replace 'c' at 6 with 'f' (distance 1.41), replace 'a' at 8 with 'f' (distance 3), 
coccaceae's	covfefe	7	0.716	7.58	delete 'c' at 3, delete 'c' at 4, replace 'a' at 5 with 'v' (distance 3.16), replace 'c' at 6 with 'f' (distance 1.41), replace 'a' at 8 with 'f' (distance 3), delete ''' at 10, delete 's' at 11, 
coccogoneae	covfefe	7	0.716	10.6	delete 'c' at 3, delete 'c' at 4, delete 'o' at 5, delete 'g' at 6, replace 'o' at 7 with 'v' (distance 5.39), replace 'n' at 8 with 'f' (distance 2.24), replace 'a' at 10 with 'f' (distance 3), 
coccogoneae's	covfefe	9	0.701	10.6	delete 'c' at 3, delete 'c' at 4, delete 'o' at 5, delete 'g' at 6, replace 'o' at 7 with 'v' (distance 5.39), replace 'n' at 8 with 'f' (distance 2.24), replace 'a' at 10 with 'f' (distance 3), delete ''' at 12, delete 's' at 13, 
cocke	covfefe	4	0.741	6	insert 'v' at 3, insert 'f' at 4, replace 'c' at 3 with 'e' (distance 2), replace 'k' at 4 with 'f' (distance 4), 
cocker	covfefe	4	0.714	6	replace 'c' at 3 with 'v' (distance 1), replace 'k' at 4 with 'f' (distance 4), insert 'f' at 6, replace 'r' at 6 with 'e' (distance 1), 
cockerell	covfefe	5	0.738	6	replace 'c' at 3 with 'v' (distance 1), replace 'k' at 4 with 'f' (distance 4), replace 'r' at 6 with 'f' (distance 1), delete 'l' at 8, delete 'l' at 9, 
cockerell's	covfefe	7	0.716	6	replace 'c' at 3 with 'v' (distance 1), replace 'k' at 4 with 'f' (distance 4), replace 'r' at 6 with 'f' (distance 1), delete 'l' at 8, delete 'l' at 9, delete ''' at 10, delete 's' at 11, 
cocle	covfefe	4	0.741	7	insert 'v' at 3, insert 'f' at 4, replace 'c' at 3 with 'e' (distance 2), replace 'l' at 4 with 'f' (distance 5), 
cocles	covfefe	4	0.714	7.41	replace 'c' at 3 with 'v' (distance 1), replace 'l' at 4 with 'f' (distance 5), insert 'f' at 6, replace 's' at 6 with 'e' (distance 1.41), 
cod	covfefe	5	0.721	1	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'd' at 3 with 'e' (distance 1), 
codee	covfefe	3	0.832	1	insert 'v' at 3, replace 'd' at 3 with 'f' (distance 1), insert 'f' at 6, 
codee's	covfefe	4	0.771	4.24	replace 'd' at 3 with 'v' (distance 1.41), replace 'e' at 4 with 'f' (distance 1.41), replace ''' at 6 with 'f' (non-letter, distance ignored), replace 's' at 7 with 'e' (distance 1.41), 
codel	covfefe	4	0.741	7.08	insert 'v' at 3, replace 'd' at 3 with 'f' (distance 1), insert 'f' at 6, replace 'l' at 5 with 'e' (distance 6.08), 
codell	covfefe	4	0.714	12.1	insert 'v' at 3, replace 'd' at 3 with 'f' (distance 1), replace 'l' at 5 with 'f' (distance 5), replace 'l' at 6 with 'e' (distance 6.08), 
coden	covfefe	4	0.741	4.61	insert 'v' at 3, replace 'd' at 3 with 'f' (distance 1), insert 'f' at 6, replace 'n' at 5 with 'e' (distance 3.61), 
codiaceae	covfefe	5	0.738	7.58	delete 'd' at 3, delete 'i' at 4, replace 'a' at 5 with 'v' (distance 3.16), replace 'c' at 6 with 'f' (distance 1.41), replace 'a' at 8 with 'f' (distance 3), 
codiaceae's	covfefe	7	0.716	7.58	delete 'd' at 3, delete 'i' at 4, replace 'a' at 5 with 'v' (distance 3.16), replace 'c' at 6 with 'f' (distance 1.41), replace 'a' at 8 with 'f' (distance 3), delete ''' at 10, delete 's' at 11, 
codie	covfefe	4	0.741	5.12	insert 'v' at 3, insert 'f' at 4, replace 'd' at 3 with 'e' (distance 1), replace 'i' at 4 with 'f' (distance 4.12), 
coe	covfefe	4	0.848	0	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
coe's	covfefe	4	0.741	1.41	insert 'v' at 3, insert 'f' at 4, replace ''' at 4 with 'f' (non-letter, distance ignored), replace 's' at 5 with 'e' (distance 1.41), 
coelastraceae	covfefe	9	0.701	7.58	delete 'e' at 3, delete 'l' at 4, delete 'a' at 5, delete 's' at 6, delete 't' at 7, delete 'r' at 8, replace 'a' at 9 with 'v' (distance 3.16), replace 'c' at 10 with 'f' (distance 1.41), replace 'a' at 12 with 'f' (distance 3), 
coelebogyne	covfefe	7	0.716	9.47	replace 'e' at 3 with 'v' (distance 2.24), replace 'l' at 4 with 'f' (distance 5), delete 'b' at 6, delete 'o' at 7, delete 'g' at 8, delete 'y' at 9, replace 'n' at 10 with 'f' (distance 2.24), 
coelebogyne's	covfefe	9	0.701	9.47	replace 'e' at 3 with 'v' (distance 2.24), replace 'l' at 4 with 'f' (distance 5), delete 'b' at 6, delete 'o' at 7, delete 'g' at 8, delete 'y' at 9, replace 'n' at 10 with 'f' (distance 2.24), delete ''' at 12, delete 's' at 13, 
coelelminthes	covfefe	9	0.701	9.24	replace 'e' at 3 with 'v' (distance 2.24), replace 'l' at 4 with 'f' (distance 5), delete 'l' at 6, delete 'm' at 7, delete 'i' at 8, delete 'n' at 9, delete 't' at 10, replace 'h' at 11 with 'f' (distance 2), delete 's' at 13, 
coelentera	covfefe	6	0.726	8.65	replace 'e' at 3 with 'v' (distance 2.24), replace 'l' at 4 with 'f' (distance 5), delete 'n' at 6, replace 't' at 7 with 'f' (distance 1.41), delete 'r' at 9, delete 'a' at 10, 
coelentera's	covfefe	8	0.708	8.65	replace 'e' at 3 with 'v' (distance 2.24), replace 'l' at 4 with 'f' (distance 5), delete 'n' at 6, replace 't' at 7 with 'f' (distance 1.41), delete 'r' at 9, delete 'a' at 10, delete ''' at 11, delete 's' at 12, 
coelenterata	covfefe	8	0.708	8.65	replace 'e' at 3 with 'v' (distance 2.24), replace 'l' at 4 with 'f' (distance 5), delete 'n' at 6, replace 't' at 7 with 'f' (distance 1.41), delete 'r' at 9, delete 'a' at 10, delete 't' at 11, delete 'a' at 12, 
coelicolae	covfefe	7	0.726	15.2	delete 'e' at 3, delete 'l' at 4, delete 'i' at 5, replace 'c' at 6 with 'v' (distance 1), replace 'o' at 7 with 'f' (distance 5.1), replace 'l' at 8 with 'e' (distance 6.08), replace 'a' at 9 with 'f' (distance 3), 
